Date,Name,Open,High,Low,Close
2020-01,JKSE,6313,6349,5937,5940
2020-02,JKSE,5921,6014,5288,5453
2020-03,JKSE,5455,5716,3912,4539
2020-04,JKSE,4539,4976,4394,4716
2020-05,JKSE,4716,4756,4460,4754
2021-12,JKSE,6545,6688,6485,6581
2022-01,JKSE,6586,6738,6524,6631
2022-02,JKSE,6658,6930,6648,6888
2022-03,JKSE,6965,7099,6814,7071
2022-04,JKSE,7094,7355,7040,7229
2020-01,KLSE,1591,1613,1531,1531
2020-02,KLSE,1522,1557,1474,1483
2020-03,KLSE,1471,1497,1208,1351
2020-04,KLSE,1345,1429,1317,1408
2020-05,KLSE,1389,1474,1375,1473
2021-12,KLSE,1507,1568,1475,1568
2022-01,KLSE,1554,1570,1503,1512
2022-02,KLSE,1516,1615,1515,1608
2022-03,KLSE,1609,1620,1541,1587
2022-04,KLSE,1588,1613,1581,1600
2020-01,PSEI,7721,7891,7201,7201
2020-02,PSEI,7206,7511,6770,6788
2020-03,PSEI,6759,6941,4039,5321
2020-04,PSEI,5322,5946,5248,5701
2020-05,PSEI,5601,5839,5396,5839
2021-12,PSEI,7194,7335,6928,7123
2022-01,PSEI,7102,7370,6967,7362
2022-02,PSEI,7380,7552,7176,7311
2022-03,PSEI,7322,7405,6638,7203
2022-04,PSEI,7160,7163,6731,6731
2020-01,SET.BK,1584,1604,1507,1514
2020-02,SET.BK,1507,1543,1337,1341
2020-03,SET.BK,1356,1408,969,1126
2020-04,SET.BK,1118,1302,1105,1302
2020-05,SET.BK,1288,1359,1252,1343
2021-12,SET.BK,1576,1661,1563,1658
2022-01,SET.BK,1665,1683,1618,1649
2022-02,SET.BK,1659,1719,1657,1685
2022-03,SET.BK,1695,1706,1581,1695
2022-04,SET.BK,1694,1709,1655,1667
